"Figure 4: G7 gross fixed capital formation (GFCF) as a percentage of gross domestic product (GDP) ",""
"G7 nations’ GFCF as a percentage of GDP, chained volume measures, seasonally adjusted, Quarter 1 (Jan to Mar) 2022 to Quarter 1 2025 ",""
"",""
"Notes","1. Data for the UK were sourced from the latest GFCF and GDP series produced by the Office for National Statistics (ONS). Percentage figures were obtained by dividing GFCF by GDP for each country and quarter.<br>
2. The Group of 7 (G7) nations is an intergovernmental organisation consisting of Canada, France, Germany, Italy, Japan, the UK and the US. <br>
3. Data for non-UK countries were sourced from the [Organisation for Economic Co-operation and Development (OECD)](https://data-explorer.oecd.org/) on 26 June 2025. It was the latest data available at the time of production of this bulletin and included provisional data that may subsequently have been revised. "
"Unit","Percentage of GDP "
"",""
"","Canada","France","Germany","Italy","Japan","United Kingdom","United States"
"Q1 2022","23.1","22.4","20.5","20.8","24.5","18.0","21.7"
"Q2 2022","22.4","22.2","20.4","20.8","24.2","17.9","21.7"
"Q3 2022","21.9","22.3","20.3","20.8","24.7","17.9","21.5"
"Q4 2022","21.7","22.3","20.3","20.9","24.6","17.6","21.3"
"Q1 2023","21.4","22.3","20.3","22.4","24.7","18.1","21.4"
"Q2 2023","21.8","22.2","20.3","22.4","24.3","17.9","21.7"
"Q3 2023","21.7","22.2","20.2","22.7","24.4","17.6","21.7"
"Q4 2023","21.4","21.9","20.0","22.8","24.7","17.8","21.8"
"Q1 2024","21.1","21.7","20.0","22.6","24.4","17.8","22.0"
"Q2 2024","21.1","21.7","19.7","22.5","24.7","17.9","22.0"
"Q3 2024","20.9","21.5","19.6","22.2","24.6","18.1","22.0"
"Q4 2024","21.2","21.5","19.7","22.5","24.5","17.9","21.8"
"Q1 2025","20.9","21.5","19.8","22.8","24.7","18.2","22.2"
