Quarter,Output,Date
1971 Q1,41.2,01/01/1971
1971 Q2,42.0,01/04/1971
1971 Q3,42.8,01/07/1971
1971 Q4,43.0,01/10/1971
1972 Q1,42.7,01/01/1972
1972 Q2,43.5,01/04/1972
1972 Q3,43.6,01/07/1972
1972 Q4,44.1,01/10/1972
1973 Q1,45.8,01/01/1973
1973 Q2,45.8,01/04/1973
1973 Q3,45.3,01/07/1973
1973 Q4,45.1,01/10/1973
1974 Q1,44.0,01/01/1974
1974 Q2,44.8,01/04/1974
1974 Q3,45.3,01/07/1974
1974 Q4,44.8,01/10/1974
1975 Q1,45.1,01/01/1975
1975 Q2,44.7,01/04/1975
1975 Q3,44.7,01/07/1975
1975 Q4,45.4,01/10/1975
1976 Q1,46.3,01/01/1976
1976 Q2,46.2,01/04/1976
1976 Q3,46.7,01/07/1976
1976 Q4,47.5,01/10/1976
1977 Q1,47.7,01/01/1977
1977 Q2,47.0,01/04/1977
1977 Q3,47.2,01/07/1977
1977 Q4,48.0,01/10/1977
1978 Q1,48.4,01/01/1978
1978 Q2,48.7,01/04/1978
1978 Q3,49.3,01/07/1978
1978 Q4,49.4,01/10/1978
1979 Q1,49.0,01/01/1979
1979 Q2,51.0,01/04/1979
1979 Q3,50.1,01/07/1979
1979 Q4,50.5,01/10/1979
1980 Q1,50.1,01/01/1980
1980 Q2,49.8,01/04/1980
1980 Q3,50.4,01/07/1980
1980 Q4,50.5,01/10/1980
1981 Q1,51.1,01/01/1981
1981 Q2,52.0,01/04/1981
1981 Q3,53.0,01/07/1981
1981 Q4,53.6,01/10/1981
1982 Q1,53.7,01/01/1982
1982 Q2,54.6,01/04/1982
1982 Q3,55.1,01/07/1982
1982 Q4,55.8,01/10/1982
1983 Q1,57.4,01/01/1983
1983 Q2,57.7,01/04/1983
1983 Q3,57.9,01/07/1983
1983 Q4,57.8,01/10/1983
1984 Q1,58.0,01/01/1984
1984 Q2,56.9,01/04/1984
1984 Q3,57.0,01/07/1984
1984 Q4,57.6,01/10/1984
1985 Q1,58.2,01/01/1985
1985 Q2,59.4,01/04/1985
1985 Q3,59.3,01/07/1985
1985 Q4,59.2,01/10/1985
1986 Q1,59.6,01/01/1986
1986 Q2,60.3,01/04/1986
1986 Q3,60.7,01/07/1986
1986 Q4,61.4,01/10/1986
1987 Q1,61.5,01/01/1987
1987 Q2,62.1,01/04/1987
1987 Q3,62.8,01/07/1987
1987 Q4,62.9,01/10/1987
1988 Q1,63.2,01/01/1988
1988 Q2,63.1,01/04/1988
1988 Q3,63.4,01/07/1988
1988 Q4,63.5,01/10/1988
1989 Q1,63.2,01/01/1989
1989 Q2,63.1,01/04/1989
1989 Q3,63.0,01/07/1989
1989 Q4,63.0,01/10/1989
1990 Q1,63.4,01/01/1990
1990 Q2,63.9,01/04/1990
1990 Q3,63.6,01/07/1990
1990 Q4,64.1,01/10/1990
1991 Q1,64.5,01/01/1991
1991 Q2,65.4,01/04/1991
1991 Q3,66.2,01/07/1991
1991 Q4,66.9,01/10/1991
1992 Q1,67.2,01/01/1992
1992 Q2,67.1,01/04/1992
1992 Q3,68.1,01/07/1992
1992 Q4,69.2,01/10/1992
1993 Q1,69.5,01/01/1993
1993 Q2,69.9,01/04/1993
1993 Q3,70.6,01/07/1993
1993 Q4,71.1,01/10/1993
1994 Q1,71.2,01/01/1994
1994 Q2,71.6,01/04/1994
1994 Q3,71.6,01/07/1994
1994 Q4,71.4,01/10/1994
1995 Q1,71.8,01/01/1995
1995 Q2,71.8,01/04/1995
1995 Q3,72.5,01/07/1995
1995 Q4,72.4,01/10/1995
1996 Q1,73.1,01/01/1996
1996 Q2,73.2,01/04/1996
1996 Q3,73.6,01/07/1996
1996 Q4,74.3,01/10/1996
1997 Q1,74.6,01/01/1997
1997 Q2,74.9,01/04/1997
1997 Q3,75.3,01/07/1997
1997 Q4,76.4,01/10/1997
1998 Q1,76.6,01/01/1998
1998 Q2,77.1,01/04/1998
1998 Q3,77.0,01/07/1998
1998 Q4,78.0,01/10/1998
1999 Q1,78.0,01/01/1999
1999 Q2,78.0,01/04/1999
1999 Q3,79.1,01/07/1999
1999 Q4,80.2,01/10/1999
2000 Q1,82.3,01/01/2000
2000 Q2,81.9,01/04/2000
2000 Q3,82.4,01/07/2000
2000 Q4,82.3,01/10/2000
2001 Q1,83.3,01/01/2001
2001 Q2,83.0,01/04/2001
2001 Q3,83.5,01/07/2001
2001 Q4,83.8,01/10/2001
2002 Q1,84.1,01/01/2002
2002 Q2,84.9,01/04/2002
2002 Q3,84.9,01/07/2002
2002 Q4,85.4,01/10/2002
2003 Q1,86.1,01/01/2003
2003 Q2,86.6,01/04/2003
2003 Q3,87.4,01/07/2003
2003 Q4,88.5,01/10/2003
2004 Q1,87.8,01/01/2004
2004 Q2,88.4,01/04/2004
2004 Q3,88.4,01/07/2004
2004 Q4,87.9,01/10/2004
2005 Q1,88.6,01/01/2005
2005 Q2,89.5,01/04/2005
2005 Q3,89.8,01/07/2005
2005 Q4,90.8,01/10/2005
2006 Q1,91.0,01/01/2006
2006 Q2,91.3,01/04/2006
2006 Q3,91.2,01/07/2006
2006 Q4,91.1,01/10/2006
2007 Q1,92.1,01/01/2007
2007 Q2,92.6,01/04/2007
2007 Q3,93.2,01/07/2007
2007 Q4,94.0,01/10/2007
2008 Q1,93.3,01/01/2008
2008 Q2,94.0,01/04/2008
2008 Q3,92.4,01/07/2008
2008 Q4,91.0,01/10/2008
2009 Q1,90.7,01/01/2009
2009 Q2,90.7,01/04/2009
2009 Q3,91.3,01/07/2009
2009 Q4,91.6,01/10/2009
2010 Q1,92.6,01/01/2010
2010 Q2,92.9,01/04/2010
2010 Q3,93.0,01/07/2010
2010 Q4,92.6,01/10/2010
2011 Q1,92.7,01/01/2011
2011 Q2,93.6,01/04/2011
2011 Q3,93.4,01/07/2011
2011 Q4,93.6,01/10/2011
2012 Q1,93.6,01/01/2012
2012 Q2,92.9,01/04/2012
2012 Q3,92.9,01/07/2012
2012 Q4,92.5,01/10/2012
2013 Q1,92.6,01/01/2013
2013 Q2,92.9,01/04/2013
2013 Q3,92.4,01/07/2013
2013 Q4,92.9,01/10/2013
2014 Q1,92.8,01/01/2014
2014 Q2,92.8,01/04/2014
2014 Q3,93.4,01/07/2014
2014 Q4,93.4,01/10/2014
2015 Q1,93.3,01/01/2015
2015 Q2,93.8,01/04/2015
2015 Q3,94.0,01/07/2015
2015 Q4,92.7,01/10/2015
2016 Q1,93.7,01/01/2016
2016 Q2,94.3,01/04/2016
2016 Q3,94.6,01/07/2016
2016 Q4,94.8,01/10/2016
2017 Q1,95.1,01/01/2017
2017 Q2,95.5,01/04/2017
2017 Q3,97.0,01/07/2017
2017 Q4,97.5,01/10/2017
2018 Q1,97.1,01/01/2018
2018 Q2,97.1,01/04/2018
2018 Q3,96.6,01/07/2018
2018 Q4,96.8,01/10/2018
2019 Q1,95.9,01/01/2019
2019 Q2,96.2,01/04/2019
2019 Q3,97.3,01/07/2019
2019 Q4,97.5,01/10/2019
2020 Q1,97.2,01/01/2020
2020 Q2,94.7,01/04/2020
2020 Q3,102.9,01/07/2020
2020 Q4,97.9,01/10/2020
2021 Q1,99.0,01/01/2021
2021 Q2,100.2,01/04/2021
2021 Q3,99.1,01/07/2021
2021 Q4,100.0,01/10/2021
2022 Q1,100.4,01/01/2022
2022 Q2,100.4,01/04/2022
2022 Q3,100.4,01/07/2022
2022 Q4,100.4,01/10/2022
2023 Q1,99.8,01/01/2023
2023 Q2,100.1,01/04/2023
2023 Q3,100.5,01/07/2023
2023 Q4,99.5,01/10/2023
2024 Q1,99.4,01/01/2024
2024 Q2,99.5,01/04/2024
2024 Q3,98.6,01/07/2024
2024 Q4,99.5,01/10/2024
2025 Q1,99.7,01/01/2025
2025 Q2,99.0,01/04/2025
2025 Q3,99.6,01/07/2025
,,
,,
,,
,,
,,
,,
,,
