date,company,ticker,capex_billions
2024-09-30,Alphabet,GOOGL,13.061
2024-12-31,Alphabet,GOOGL,14.276
2025-03-31,Alphabet,GOOGL,17.197
2025-06-30,Alphabet,GOOGL,22.446
2025-09-30,Alphabet,GOOGL,23.953
2024-09-30,Amazon,AMZN,22.62
2024-12-31,Amazon,AMZN,27.834
2025-03-31,Amazon,AMZN,25.019
2025-06-30,Amazon,AMZN,32.183
2025-09-30,Amazon,AMZN,35.095
2024-09-30,Meta,META,8.258
2024-12-31,Meta,META,14.425
2025-03-31,Meta,META,12.941
2025-06-30,Meta,META,16.538
2025-09-30,Meta,META,18.829
2024-09-30,Microsoft,MSFT,14.923
2024-12-31,Microsoft,MSFT,15.804
2025-03-31,Microsoft,MSFT,16.745
2025-06-30,Microsoft,MSFT,17.079
2025-09-30,Microsoft,MSFT,19.394
