Days_From_Peak,Indexed_Price,Ticker
-939,1.8355852320037700,Amazon (1997-2002)
-938,1.6207709264194700,Amazon (1997-2002)
-935,1.6012560790453600,Amazon (1997-2002)
-934,1.532906904401050,Amazon (1997-2002)
-933,1.337626301790610,Amazon (1997-2002)
-932,1.3083445330940100,Amazon (1997-2002)
-931,1.405975476434910,Amazon (1997-2002)
-927,1.4840914327305900,Amazon (1997-2002)
-926,1.4352759610601400,Amazon (1997-2002)
-925,1.410849439460730,Amazon (1997-2002)
-924,1.405975476434910,Amazon (1997-2002)
-921,1.4157422580862900,Amazon (1997-2002)
-920,1.386441773461060,Amazon (1997-2002)
-919,1.327859380468120,Amazon (1997-2002)
-918,1.4450240267828800,Amazon (1997-2002)
-917,1.5524406073749000,Amazon (1997-2002)
-914,1.5817223760715000,Amazon (1997-2002)
-913,1.4840914327305900,Amazon (1997-2002)
-912,1.4450240267828800,Amazon (1997-2002)
-911,1.50360641977582,Amazon (1997-2002)
-910,1.4840914327305900,Amazon (1997-2002)
-907,1.4743245114081100,Amazon (1997-2002)
-906,1.410849439460730,Amazon (1997-2002)
-905,1.4157422580862900,Amazon (1997-2002)
-904,1.4157422580862900,Amazon (1997-2002)
-903,1.4303831424345900,Amazon (1997-2002)
-900,1.405975476434910,Amazon (1997-2002)
-899,1.4157422580862900,Amazon (1997-2002)
-898,1.4157422580862900,Amazon (1997-2002)
-897,1.4157422580862900,Amazon (1997-2002)
-896,1.396208555112430,Amazon (1997-2002)
-893,1.4450240267828800,Amazon (1997-2002)
-892,1.4206163607832100,Amazon (1997-2002)
-891,1.4889653957564100,Amazon (1997-2002)
-890,1.7916438630302400,Amazon (1997-2002)
-886,1.874633922022850,Amazon (1997-2002)
-885,2.1577785466517100,Amazon (1997-2002)
-884,2.1773122496255700,Amazon (1997-2002)
-883,2.40187462093261,Amazon (1997-2002)
-882,2.148011765000340,Amazon (1997-2002)
-879,2.001565349988980,Amazon (1997-2002)
-878,2.284710114288960,Amazon (1997-2002)
-877,2.1870791709480500,Amazon (1997-2002)
-876,2.0796813062846600,Amazon (1997-2002)
-875,2.0210990529628400,Amazon (1997-2002)
-872,2.0455067189625100,Amazon (1997-2002)
-871,2.001565349988980,Amazon (1997-2002)
-870,2.148011765000340,Amazon (1997-2002)
-869,2.1187299963037400,Amazon (1997-2002)
-868,2.089429511678520,Amazon (1997-2002)
-865,2.1773122496255700,Amazon (1997-2002)
-864,2.323758664636930,Amazon (1997-2002)
-863,2.2944768959403300,Amazon (1997-2002)
-862,2.2456614242698800,Amazon (1997-2002)
-861,2.2651764113151000,Amazon (1997-2002)
-858,2.167545467974200,Amazon (1997-2002)
-857,2.069914524633290,Amazon (1997-2002)
-856,2.108963074981260,Amazon (1997-2002)
-855,2.040614040008060,Amazon (1997-2002)
-854,2.148011765000340,Amazon (1997-2002)
-851,2.1821863523225000,Amazon (1997-2002)
-850,2.0601476033108100,Amazon (1997-2002)
-849,2.0601476033108100,Amazon (1997-2002)
-848,2.0210990529628400,Amazon (1997-2002)
-847,1.982031647015130,Amazon (1997-2002)
-844,1.9136824723708200,Amazon (1997-2002)
-843,2.030847118685580,Amazon (1997-2002)
-842,2.030847118685580,Amazon (1997-2002)
-841,1.982031647015130,Amazon (1997-2002)
-840,1.9917985683376100,Amazon (1997-2002)
-837,2.0796813062846600,Amazon (1997-2002)
-836,2.196845952599430,Amazon (1997-2002)
-835,2.172419431000010,Amazon (1997-2002)
-834,2.226127721296020,Amazon (1997-2002)
-833,2.1919531339738700,Amazon (1997-2002)
-829,2.206594018322170,Amazon (1997-2002)
-828,2.1870791709480500,Amazon (1997-2002)
-827,2.392107699610130,Amazon (1997-2002)
-826,2.343292367610780,Amazon (1997-2002)
-823,2.811950952869830,Amazon (1997-2002)
-822,3.036513324176870,Amazon (1997-2002)
-821,3.095095577498690,Amazon (1997-2002)
-820,2.9584159441387100,Amazon (1997-2002)
-819,3.45635629809435,Amazon (1997-2002)
-816,2.8998336908168800,Amazon (1997-2002)
-815,3.1439109094980400,Amazon (1997-2002)
-814,3.1927452367682300,Amazon (1997-2002)
-813,3.0853286561762100,Amazon (1997-2002)
-812,3.700452232704140,Amazon (1997-2002)
-809,4.217926149962520,Amazon (1997-2002)
-808,4.335090935948390,Amazon (1997-2002)
-807,4.100761643318870,Amazon (1997-2002)
-806,3.8224909817158200,Amazon (1997-2002)
-805,3.90548104070843,Amazon (1997-2002)
-802,3.7883165340647800,Amazon (1997-2002)
-801,4.066587195667830,Amazon (1997-2002)
-800,3.7688014073484400,Amazon (1997-2002)
-799,3.75903476536818,Amazon (1997-2002)
-798,3.763908728394000,Amazon (1997-2002)
-795,3.866432350689350,Amazon (1997-2002)
-794,3.802976134341710,Amazon (1997-2002)
-793,3.754141807071520,Amazon (1997-2002)
-792,3.5149385514161800,Amazon (1997-2002)
-791,3.6565108637306100,Amazon (1997-2002)
