Date,Value
1881-01-01,31.05
1881-02-01,30.59
1881-03-01,30.44
1881-04-01,29.98
1881-05-01,30.13
1881-06-01,29.97
1881-07-01,29.52
1881-08-01,28.8
1881-09-01,27.58
1881-10-01,27.19
1881-11-01,27.31
1881-12-01,27.17
1882-01-01,27.24
1882-02-01,27.06
1882-03-01,27.13
1882-04-01,26.96
1882-05-01,26.78
1882-06-01,26.62
1882-07-01,26.93
1882-08-01,26.75
1882-09-01,27.55
1882-10-01,27.88
1882-11-01,28.22
1882-12-01,28.56
1883-01-01,28.53
1883-02-01,28.22
1883-03-01,28.46
1883-04-01,28.69
1883-05-01,28.93
1883-06-01,29.76
1883-07-01,30.33
1883-08-01,30.29
1883-09-01,30.57
1883-10-01,30.54
1883-11-01,30.82
1883-12-01,30.47
1884-01-01,30.05
1884-02-01,29.63
1884-03-01,29.2
1884-04-01,29.38
1884-05-01,29.57
1884-06-01,29.13
1884-07-01,29.0
1884-08-01,28.53
1884-09-01,28.37
1884-10-01,28.2
1884-11-01,28.35
1884-12-01,28.16
1885-01-01,28.03
1885-02-01,27.56
1885-03-01,28.05
1885-04-01,27.57
1885-05-01,28.05
1885-06-01,28.55
1885-07-01,28.03
1885-08-01,27.83
1885-09-01,27.96
1885-10-01,27.75
1885-11-01,27.19
1885-12-01,26.34
1886-01-01,27.57
1886-02-01,28.18
1886-03-01,29.13
1886-04-01,30.12
1886-05-01,31.53
1886-06-01,32.59
1886-07-01,32.83
1886-08-01,33.07
1886-09-01,33.72
1886-10-01,34.37
1886-11-01,35.02
1886-12-01,35.24
1887-01-01,34.77
1887-02-01,34.74
1887-03-01,35.12
1887-04-01,35.49
1887-05-01,35.87
1887-06-01,36.69
1887-07-01,37.53
1887-08-01,37.49
1887-09-01,38.36
1887-10-01,38.32
1887-11-01,38.28
1887-12-01,37.81
1888-01-01,36.66
1888-02-01,36.34
1888-03-01,35.6
1888-04-01,35.27
1888-05-01,34.9
1888-06-01,34.53
1888-07-01,33.34
1888-08-01,32.53
1888-09-01,31.73
1888-10-01,30.55
1888-11-01,29.39
1888-12-01,28.59
1889-01-01,30.1
1889-02-01,30.96
1889-03-01,31.85
1889-04-01,32.35
1889-05-01,33.69
1889-06-01,34.21
1889-07-01,34.74
1889-08-01,35.28
1889-09-01,35.36
1889-10-01,35.89
1889-11-01,36.43
1889-12-01,36.51
1890-01-01,37.45
1890-02-01,37.46
1890-03-01,37.49
1890-04-01,37.52
1890-05-01,37.06
1890-06-01,37.09
1890-07-01,37.11
1890-08-01,35.79
1890-09-01,35.4
1890-10-01,35.43
1890-11-01,36.31
1890-12-01,36.36
1891-01-01,37.47
1891-02-01,37.68
1891-03-01,37.9
1891-04-01,38.11
1891-05-01,39.23
1891-06-01,40.88
1891-07-01,42.1
1891-08-01,42.8
1891-09-01,44.05
1891-10-01,44.76
1891-11-01,46.05
1891-12-01,46.78
1892-01-01,48.51
1892-02-01,49.03
1892-03-01,50.88
1892-04-01,52.11
1892-05-01,52.66
1892-06-01,53.22
1892-07-01,52.37
1892-08-01,52.23
1892-09-01,52.78
1892-10-01,53.33
1892-11-01,52.52
1892-12-01,52.41
1893-01-01,49.43
1893-02-01,47.79
1893-03-01,47.85
1893-04-01,47.32
1893-05-01,46.8
1893-06-01,46.85
1893-07-01,46.9
