Date,Series,Indexed_Value
2023-01-03,Magnificent 7 (Equal Weight),100.0
2023-01-04,Magnificent 7 (Equal Weight),99.73135477732530
2023-01-05,Magnificent 7 (Equal Weight),97.66816586666520
2023-01-06,Magnificent 7 (Equal Weight),99.92515781428790
2023-01-09,Magnificent 7 (Equal Weight),101.40965518713900
2023-01-10,Magnificent 7 (Equal Weight),102.4415878219850
2023-01-11,Magnificent 7 (Equal Weight),105.2875271513960
2023-01-12,Magnificent 7 (Equal Weight),106.19200920089600
2023-01-13,Magnificent 7 (Equal Weight),106.88133932122800
2023-01-17,Magnificent 7 (Equal Weight),107.86400697923100
2023-01-18,Magnificent 7 (Equal Weight),106.41493527458600
2023-01-19,Magnificent 7 (Equal Weight),106.06732007779500
2023-01-20,Magnificent 7 (Equal Weight),109.88360254580500
2023-01-23,Magnificent 7 (Equal Weight),112.85099202683900
2023-01-24,Magnificent 7 (Equal Weight),112.55256751405600
2023-01-25,Magnificent 7 (Equal Weight),111.94944748663400
2023-01-26,Magnificent 7 (Equal Weight),116.53787574539400
2023-01-27,Magnificent 7 (Equal Weight),120.33777235232500
2023-01-30,Magnificent 7 (Equal Weight),116.55765406744000
2023-01-31,Magnificent 7 (Equal Weight),119.0710204151370
2023-02-01,Magnificent 7 (Equal Weight),122.06189133602300
2023-02-02,Magnificent 7 (Equal Weight),131.69805337912300
2023-02-03,Magnificent 7 (Equal Weight),129.63311343781900
2023-02-06,Magnificent 7 (Equal Weight),129.2413906090790
2023-02-07,Magnificent 7 (Equal Weight),132.67513656972400
2023-02-08,Magnificent 7 (Equal Weight),130.438181252736
2023-02-09,Magnificent 7 (Equal Weight),129.21357934354000
2023-02-10,Magnificent 7 (Equal Weight),127.09792412135800
2023-02-13,Magnificent 7 (Equal Weight),129.19588097569800
2023-02-14,Magnificent 7 (Equal Weight),131.28610647132300
2023-02-15,Magnificent 7 (Equal Weight),132.07782339782900
2023-02-16,Magnificent 7 (Equal Weight),128.13119574358100
2023-02-17,Magnificent 7 (Equal Weight),127.98243353504300
2023-02-21,Magnificent 7 (Equal Weight),124.5214897764310
2023-02-22,Magnificent 7 (Equal Weight),124.90639948628800
2023-02-23,Magnificent 7 (Equal Weight),125.93250197247500
2023-02-24,Magnificent 7 (Equal Weight),123.44331316152900
2023-02-27,Magnificent 7 (Equal Weight),125.1439266766690
2023-02-28,Magnificent 7 (Equal Weight),125.47728034613300
2023-03-01,Magnificent 7 (Equal Weight),123.94928145318000
2023-03-02,Magnificent 7 (Equal Weight),123.53382905142000
2023-03-03,Magnificent 7 (Equal Weight),127.60537508223900
2023-03-06,Magnificent 7 (Equal Weight),127.60098812707800
2023-03-07,Magnificent 7 (Equal Weight),125.9203108369090
2023-03-08,Magnificent 7 (Equal Weight),125.56155539264700
2023-03-09,Magnificent 7 (Equal Weight),122.95560962864400
2023-03-10,Magnificent 7 (Equal Weight),121.53771835737100
2023-03-13,Magnificent 7 (Equal Weight),123.04965920944600
2023-03-14,Magnificent 7 (Equal Weight),127.80914831580900
2023-03-15,Magnificent 7 (Equal Weight),129.0245724853110
2023-03-16,Magnificent 7 (Equal Weight),133.3317898567660
2023-03-17,Magnificent 7 (Equal Weight),131.9750570361790
2023-03-20,Magnificent 7 (Equal Weight),131.8674074530350
2023-03-21,Magnificent 7 (Equal Weight),135.5824179977870
2023-03-22,Magnificent 7 (Equal Weight),133.67528927950600
2023-03-23,Magnificent 7 (Equal Weight),135.578196301277
2023-03-24,Magnificent 7 (Equal Weight),135.95232374234400
2023-03-27,Magnificent 7 (Equal Weight),134.52617248082600
2023-03-28,Magnificent 7 (Equal Weight),133.38781033263700
2023-03-29,Magnificent 7 (Equal Weight),136.15427226541200
2023-03-30,Magnificent 7 (Equal Weight),137.51197824858800
2023-03-31,Magnificent 7 (Equal Weight),141.0376445524650
2023-04-03,Magnificent 7 (Equal Weight),139.5685743443670
2023-04-04,Magnificent 7 (Equal Weight),139.6012357306330
2023-04-05,Magnificent 7 (Equal Weight),137.2133161458450
2023-04-06,Magnificent 7 (Equal Weight),139.4201193599980
2023-04-10,Magnificent 7 (Equal Weight),138.39618387077600
2023-04-11,Magnificent 7 (Equal Weight),137.11155335045300
2023-04-12,Magnificent 7 (Equal Weight),135.87566824750500
2023-04-13,Magnificent 7 (Equal Weight),139.80731400363200
2023-04-14,Magnificent 7 (Equal Weight),139.56306833804700
2023-04-17,Magnificent 7 (Equal Weight),139.51727992264000
2023-04-18,Magnificent 7 (Equal Weight),138.98674203402700
2023-04-19,Magnificent 7 (Equal Weight),138.63608499922300
2023-04-20,Magnificent 7 (Equal Weight),135.59125884521800
2023-04-21,Magnificent 7 (Equal Weight),136.00832337699
2023-04-24,Magnificent 7 (Equal Weight),135.17262190435500
2023-04-25,Magnificent 7 (Equal Weight),132.42290945073000
2023-04-26,Magnificent 7 (Equal Weight),134.66317214745000
2023-04-27,Magnificent 7 (Equal Weight),142.14928163069800
2023-04-28,Magnificent 7 (Equal Weight),142.8441952376680
2023-05-01,Magnificent 7 (Equal Weight),142.35960146066900
2023-05-02,Magnificent 7 (Equal Weight),141.38193128310900
