geo_id,value,date
W06000001,1.41,2023-01-01
W06000002,1.38,2023-01-01
W06000003,1.51,2023-01-01
W06000004,1.57,2023-01-01
W06000005,1.49,2023-01-01
W06000006,1.55,2023-01-01
W06000023,1.49,2023-01-01
W06000008,1.31,2023-01-01
W06000009,1.48,2023-01-01
W06000010,1.57,2023-01-01
W06000011,1.3,2023-01-01
W06000012,1.42,2023-01-01
W06000013,1.49,2023-01-01
W06000014,1.46,2023-01-01
W06000015,1.16,2023-01-01
W06000016,1.35,2023-01-01
W06000024,1.51,2023-01-01
W06000018,1.46,2023-01-01
W06000019,1.57,2023-01-01
W06000020,1.55,2023-01-01
W06000021,1.5,2023-01-01
W06000022,1.6,2023-01-01
W06000001,1.48,2024-01-01
W06000002,1.29,2024-01-01
W06000003,1.42,2024-01-01
W06000004,1.48,2024-01-01
W06000005,1.48,2024-01-01
W06000006,1.51,2024-01-01
W06000023,1.43,2024-01-01
W06000008,1.36,2024-01-01
W06000009,1.47,2024-01-01
W06000010,1.46,2024-01-01
W06000011,1.21,2024-01-01
W06000012,1.4,2024-01-01
W06000013,1.4,2024-01-01
W06000014,1.42,2024-01-01
W06000015,1.19,2024-01-01
W06000016,1.32,2024-01-01
W06000024,1.51,2024-01-01
W06000018,1.35,2024-01-01
W06000019,1.5,2024-01-01
W06000020,1.5,2024-01-01
W06000021,1.41,2024-01-01
W06000022,1.64,2024-01-01
