Date,Category,Value
2015-11-23,Magnificent 7,1630.3904000466855
2015-11-23,Rest of S&P 500,14645.01228550019
2015-11-24,Magnificent 7,1625.9523686596322
2015-11-24,Rest of S&P 500,14669.338793449744
2015-11-25,Magnificent 7,1623.3963261129713
2015-11-25,Rest of S&P 500,14669.790587949528
2015-11-27,Magnificent 7,1624.5738022511619
2015-11-27,Rest of S&P 500,14678.285035639463
2015-11-30,Magnificent 7,1619.0602911299554
2015-11-30,Rest of S&P 500,14608.137023323168
2015-12-01,Magnificent 7,1643.576473376415
2015-12-01,Rest of S&P 500,14756.936612561083
2015-12-02,Magnificent 7,1633.05967583603
2015-12-02,Rest of S&P 500,14587.118400335845
2015-12-03,Magnificent 7,1611.3438440215675
2015-12-03,Rest of S&P 500,14375.693070040932
2015-12-04,Magnificent 7,1645.991066977987
2015-12-04,Rest of S&P 500,14669.190475990763
2015-12-07,Magnificent 7,1638.0955051549636
2015-12-07,Rest of S&P 500,14563.051028048161
2015-12-08,Magnificent 7,1643.622622808189
2015-12-08,Rest of S&P 500,14452.380062738686
2015-12-09,Magnificent 7,1614.232705373892
2015-12-09,Rest of S&P 500,14357.20325654017
2015-12-10,Magnificent 7,1618.407756887106
2015-12-10,Rest of S&P 500,14388.986090769144
2015-12-11,Magnificent 7,1576.280222078693
2015-12-11,Rest of S&P 500,14120.20573983537
2015-12-14,Magnificent 7,1599.862378421406
2015-12-14,Rest of S&P 500,14171.269164547342
2015-12-15,Magnificent 7,1593.8609771303331
2015-12-15,Rest of S&P 500,14344.73728947123
2015-12-16,Magnificent 7,1624.6107823057519
2015-12-16,Rest of S&P 500,14545.335750897373
2015-12-17,Magnificent 7,1607.481661594274
2015-12-17,Rest of S&P 500,14319.260452663537
2015-12-18,Magnificent 7,1574.5236704535455
2015-12-18,Rest of S&P 500,14068.76671040583
2015-12-21,Magnificent 7,1587.2457467378222
2015-12-21,Rest of S&P 500,14177.724443691865
2015-12-22,Magnificent 7,1592.4392974834263
2015-12-22,Rest of S&P 500,14311.526474000948
2015-12-23,Magnificent 7,1598.9051525138414
2015-12-23,Rest of S&P 500,14502.557152173658
2015-12-24,Magnificent 7,1595.8411444747264
2015-12-24,Rest of S&P 500,14479.880779353398
2015-12-28,Magnificent 7,1606.5962507665897
2015-12-28,Rest of S&P 500,14434.103749233409
2015-12-29,Magnificent 7,1635.342348082024
2015-12-29,Rest of S&P 500,14575.8664898086
2015-12-30,Magnificent 7,1623.149679016947
2015-12-30,Rest of S&P 500,14471.059158873677
2015-12-31,Magnificent 7,1597.083438100537
2015-12-31,Rest of S&P 500,14345.648104868213
2016-01-04,Magnificent 7,1557.4885591475927
2016-01-04,Rest of S&P 500,14141.25970745397
2016-01-05,Magnificent 7,1550.6301770717826
2016-01-05,Rest of S&P 500,14179.707518240717
