geo_id,value,date
S12000033, 4709 ,2022-01-01
S12000034, 6112 ,2022-01-01
S12000017, 5021 ,2022-01-01
S12000020, 1871 ,2022-01-01
S12000021, 2450 ,2022-01-01
S12000035, 1820 ,2022-01-01
S12000013, 528 ,2022-01-01
S12000023, 465 ,2022-01-01
S12000027, 507 ,2022-01-01
S12000041, 2334 ,2022-01-01
S12000042, 2619 ,2022-01-01
S12000005, 1027 ,2022-01-01
S12000047, 7172 ,2022-01-01
S12000010, 2697 ,2022-01-01
S12000019, 2037 ,2022-01-01
S12000036, 13681 ,2022-01-01
S12000014, 3099 ,2022-01-01
S12000048, 3451 ,2022-01-01
S12000030, 2106 ,2022-01-01
S12000040, 3699 ,2022-01-01
S12000039, 1554 ,2022-01-01
S12000045, 2754 ,2022-01-01
S12000049, 11566 ,2022-01-01
S12000011, 2412 ,2022-01-01
S12000038, 3485 ,2022-01-01
S12000018, 1487 ,2022-01-01
S12000050, 6185 ,2022-01-01
S12000026, 2475 ,2022-01-01
S12000006, 2963 ,2022-01-01
S12000008, 2283 ,2022-01-01
S12000028, 2341 ,2022-01-01
S12000029, 6694 ,2022-01-01
