Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,115.92,6.79,115.92,10.44,10.44,NA,,NA,,,1.00,1.00,13.06%,9.25%,3.81%,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,114.01,6.59,114.56,10.13,10.18,NA,,NA,,,1.00,0.97,13.09%,9.46%,3.62%,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,115.09,6.49,116.19,9.99,10.08,NA,,NA,,,1.00,0.96,13.10%,9.62%,3.48%,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,122.82,6.74,124.55,10.36,10.51,NA,,NA,,,1.00,1.00,12.21%,9.10%,3.11%,,,,
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,128.85,6.89,131.26,10.61,10.80,NA,,NA,,,1.00,1.03,12.26%,8.95%,3.31%,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,129.81,7.00,132.82,10.77,11.02,NA,,NA,,,1.00,1.05,12.31%,8.77%,3.54%,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,127.38,7.00,130.94,10.77,11.07,NA,,NA,,,1.00,1.06,12.00%,8.66%,3.34%,,,,
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,131.06,7.11,135.33,10.94,11.30,NA,,NA,,,1.00,1.08,11.19%,8.27%,2.93%,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,129.33,6.95,134.14,10.69,11.09,NA,,NA,,,1.00,1.06,11.00%,8.10%,2.90%,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,120.76,6.84,125.84,10.52,10.97,NA,,NA,,,1.00,1.05,11.48%,8.17%,3.31%,,,,
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,122.08,6.84,127.81,10.52,11.02,NA,,NA,,,1.00,1.05,11.53%,8.26%,3.27%,,,,
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,121.89,6.69,128.20,10.29,10.82,NA,,NA,,,1.00,1.03,11.21%,8.50%,2.71%,,,,
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,124.98,6.77,132.04,10.35,10.94,NA,,NA,,,1.00,1.04,10.77%,8.49%,2.28%,,,,
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,125.49,6.86,133.19,10.41,11.05,NA,,NA,,,1.00,1.04,10.38%,8.39%,1.98%,,,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,127.69,6.84,136.12,10.32,11.01,NA,,NA,,,1.00,1.03,10.17%,8.55%,1.62%,,,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,128.38,6.77,137.46,10.16,10.88,NA,,NA,,,1.00,1.01,10.01%,8.69%,1.32%,,,,
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,128.38,6.86,138.08,10.22,11.00,NA,,NA,,,1.00,1.01,9.78%,8.59%,1.19%,,,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,128.07,6.99,138.37,10.36,11.19,NA,,NA,,,1.00,1.02,9.65%,8.41%,1.24%,,,,
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,129.21,7.18,140.24,10.58,11.48,NA,,NA,,,1.00,1.04,10.25%,8.35%,1.90%,,,,
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,126.75,7.21,138.23,10.56,11.52,NA,,NA,,,1.00,1.04,10.68%,8.32%,2.36%,,,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,123.58,7.24,135.42,10.55,11.56,NA,,NA,,,1.00,1.03,11.37%,8.70%,2.67%,,,,
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,126.85,7.49,139.70,10.85,11.95,NA,,NA,,,1.00,1.06,10.87%,8.56%,2.31%,,,,
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,122.68,7.35,135.78,10.60,11.73,NA,,NA,,,1.00,1.03,10.86%,8.98%,1.88%,,,,
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,127.50,7.54,141.81,10.81,12.03,NA,,NA,,,1.00,1.05,10.59%,8.92%,1.67%,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,128.51,7.61,143.64,10.88,12.16,NA,,NA,,,1.01,1.05,10.44%,8.91%,1.52%,,,,
