date,value,series
1947-01-01,2182.681,US GDP
1947-04-01,2176.892,US GDP
1947-07-01,2172.432,US GDP
1947-10-01,2206.452,US GDP
1948-01-01,2239.682,US GDP
1948-04-01,2276.69,US GDP
1948-07-01,2289.77,US GDP
1948-10-01,2292.364,US GDP
1949-01-01,2260.807,US GDP
1949-04-01,2253.128,US GDP
1949-07-01,2276.424,US GDP
1949-10-01,2257.352,US GDP
1950-01-01,2346.104,US GDP
1950-04-01,2417.682,US GDP
1950-07-01,2511.127,US GDP
1950-10-01,2559.214,US GDP
1951-01-01,2593.967,US GDP
1951-04-01,2638.898,US GDP
1951-07-01,2693.259,US GDP
1951-10-01,2699.156,US GDP
1952-01-01,2727.954,US GDP
1952-04-01,2733.8,US GDP
1952-07-01,2753.517,US GDP
1952-10-01,2843.941,US GDP
1953-01-01,2896.811,US GDP
1953-04-01,2919.206,US GDP
1953-07-01,2902.785,US GDP
1953-10-01,2858.845,US GDP
1954-01-01,2845.192,US GDP
1954-04-01,2848.305,US GDP
1954-07-01,2880.482,US GDP
1954-10-01,2936.852,US GDP
1955-01-01,3020.746,US GDP
1955-04-01,3069.91,US GDP
1955-07-01,3111.379,US GDP
1955-10-01,3130.068,US GDP
1956-01-01,3117.922,US GDP
1956-04-01,3143.694,US GDP
1956-07-01,3140.874,US GDP
1956-10-01,3192.57,US GDP
1957-01-01,3213.011,US GDP
1957-04-01,3205.97,US GDP
1957-07-01,3237.386,US GDP
1957-10-01,3203.894,US GDP
1958-01-01,3120.724,US GDP
1958-04-01,3141.224,US GDP
1958-07-01,3213.884,US GDP
1958-10-01,3289.032,US GDP
1959-01-01,3352.129,US GDP
1959-04-01,3427.667,US GDP
1959-07-01,3430.057,US GDP
1959-10-01,3439.832,US GDP
1960-01-01,3517.181,US GDP
1960-04-01,3498.246,US GDP
1960-07-01,3515.385,US GDP
1960-10-01,3470.278,US GDP
1961-01-01,3493.703,US GDP
1961-04-01,3553.021,US GDP
1961-07-01,3621.252,US GDP
1961-10-01,3692.289,US GDP
1962-01-01,3758.147,US GDP
1962-04-01,3792.149,US GDP
1962-07-01,3838.776,US GDP
1962-10-01,3851.421,US GDP
1963-01-01,3893.482,US GDP
1963-04-01,3937.183,US GDP
1963-07-01,4023.755,US GDP
1963-10-01,4050.147,US GDP
1964-01-01,4135.553,US GDP
1964-04-01,4180.592,US GDP
1964-07-01,4245.918,US GDP
1964-10-01,4259.046,US GDP
1965-01-01,4362.111,US GDP
1965-04-01,4417.225,US GDP
1965-07-01,4515.427,US GDP
1965-10-01,4619.458,US GDP
1966-01-01,4731.888,US GDP
1966-04-01,4748.046,US GDP
1966-07-01,4788.254,US GDP
1966-10-01,4827.537,US GDP
1967-01-01,4870.299,US GDP
1967-04-01,4873.287,US GDP
1967-07-01,4919.392,US GDP
1967-10-01,4956.477,US GDP
1968-01-01,5057.553,US GDP
1968-04-01,5142.033,US GDP
1968-07-01,5181.859,US GDP
1968-10-01,5202.212,US GDP
1969-01-01,5283.597,US GDP
1969-04-01,5299.625,US GDP
1969-07-01,5334.6,US GDP
1969-10-01,5308.556,US GDP
1970-01-01,5300.652,US GDP
1970-04-01,5308.164,US GDP
1970-07-01,5357.077,US GDP
1970-10-01,5299.672,US GDP
1971-01-01,5443.619,US GDP
1971-04-01,5473.059,US GDP
1971-07-01,5518.072,US GDP
1971-10-01,5531.032,US GDP
1972-01-01,5632.649,US GDP
1972-04-01,5760.47,US GDP
1972-07-01,5814.854,US GDP
1972-10-01,5912.22,US GDP
1973-01-01,6058.544,US GDP
1973-04-01,6124.506,US GDP
1973-07-01,6092.301,US GDP
1973-10-01,6150.131,US GDP
1974-01-01,6097.258,US GDP
1974-04-01,6111.751,US GDP
1974-07-01,6053.978,US GDP
1974-10-01,6030.464,US GDP
1975-01-01,5957.035,US GDP
1975-04-01,5999.61,US GDP
1975-07-01,6102.326,US GDP
1975-10-01,6184.53,US GDP
1976-01-01,6323.649,US GDP
1976-04-01,6370.025,US GDP
1976-07-01,6404.895,US GDP
1976-10-01,6451.177,US GDP
1977-01-01,6527.703,US GDP
1977-04-01,6654.466,US GDP
1977-07-01,6774.457,US GDP
1977-10-01,6774.592,US GDP
1978-01-01,6796.26,US GDP
1978-04-01,7058.92,US GDP
1978-07-01,7129.915,US GDP
1978-10-01,7225.75,US GDP
1979-01-01,7238.727,US GDP
1979-04-01,7246.454,US GDP
1979-07-01,7300.281,US GDP
1979-10-01,7318.535,US GDP
1980-01-01,7341.557,US GDP
1980-04-01,7190.289,US GDP
1980-07-01,7181.743,US GDP
1980-10-01,7315.677,US GDP
1981-01-01,7459.022,US GDP
1981-04-01,7403.745,US GDP
1981-07-01,7492.405,US GDP
1981-10-01,7410.768,US GDP
1982-01-01,7295.631,US GDP
1982-04-01,7328.912,US GDP
1982-07-01,7300.896,US GDP
1982-10-01,7303.817,US GDP
1983-01-01,7400.066,US GDP
1983-04-01,7568.456,US GDP
1983-07-01,7719.746,US GDP
1983-10-01,7880.794,US GDP
1984-01-01,8034.847,US GDP
1984-04-01,8173.67,US GDP
1984-07-01,8252.465,US GDP
1984-10-01,8320.199,US GDP
1985-01-01,8400.82,US GDP
1985-04-01,8474.787,US GDP
1985-07-01,8604.22,US GDP
1985-10-01,8668.188,US GDP
1986-01-01,8749.127,US GDP
1986-04-01,8788.524,US GDP
1986-07-01,8872.601,US GDP
1986-10-01,8920.193,US GDP
1987-01-01,8986.367,US GDP
1987-04-01,9083.256,US GDP
1987-07-01,9162.024,US GDP
1987-10-01,9319.332,US GDP
1988-01-01,9367.502,US GDP
1988-04-01,9490.594,US GDP
1988-07-01,9546.206,US GDP
1988-10-01,9673.405,US GDP
1989-01-01,9771.725,US GDP
1989-04-01,9846.293,US GDP
1989-07-01,9919.228,US GDP
1989-10-01,9938.767,US GDP
1990-01-01,10047.386,US GDP
1990-04-01,10083.855,US GDP
1990-07-01,10090.569,US GDP
1990-10-01,9998.704,US GDP
1991-01-01,9951.916,US GDP
1991-04-01,10029.51,US GDP
1991-07-01,10080.195,US GDP
1991-10-01,10115.329,US GDP
1992-01-01,10236.435,US GDP
1992-04-01,10347.429,US GDP
1992-07-01,10449.673,US GDP
1992-10-01,10558.648,US GDP
1993-01-01,10576.275,US GDP
1993-04-01,10637.847,US GDP
1993-07-01,10688.606,US GDP
1993-10-01,10833.987,US GDP
1994-01-01,10939.116,US GDP
1994-04-01,11087.361,US GDP
1994-07-01,11152.176,US GDP
1994-10-01,11279.932,US GDP
1995-01-01,11319.951,US GDP
1995-04-01,11353.721,US GDP
