date,value
1989-07-01,1757167
1989-10-01,1813091
1990-01-01,1795864
1990-04-01,1839524
1990-07-01,1776927
1990-10-01,1866211
1991-01-01,1953824
1991-04-01,1947115
1991-07-01,1976983
1991-10-01,2089583
1992-01-01,2069185
1992-04-01,2056403
1992-07-01,2081605
1992-10-01,2212643
1993-01-01,2320513
1993-04-01,2373292
1993-07-01,2455682
1993-10-01,2567679
1994-01-01,2617424
1994-04-01,2673632
1994-07-01,2746138
1994-10-01,2839287
1995-01-01,2944658
1995-04-01,3051611
1995-07-01,3190858
1995-10-01,3297112
1996-01-01,3331907
1996-04-01,3373657
1996-07-01,3366541
1996-10-01,3474044
1997-01-01,3445962
1997-04-01,3647915
1997-07-01,3777630
1997-10-01,3865225
1998-01-01,4109024
1998-04-01,4187304
1998-07-01,3958196
1998-10-01,4282655
1999-01-01,4218361
1999-04-01,4348685
1999-07-01,4243432
1999-10-01,4651300
2000-01-01,4701392
2000-04-01,4572807
2000-07-01,4569392
2000-10-01,4354993
2001-01-01,4154468
2001-04-01,4292032
2001-07-01,4029319
2001-10-01,4217152
2002-01-01,4236718
2002-04-01,4103471
2002-07-01,3840305
2002-10-01,3899662
2003-01-01,3859502
2003-04-01,4166405
2003-07-01,4275428
2003-10-01,4555474
2004-01-01,4997573
2004-04-01,5061717
2004-07-01,5235726
2004-10-01,5580896
2005-01-01,5657073
2005-04-01,5918712
2005-07-01,6151344
2005-10-01,6320526
2006-01-01,6781816
2006-04-01,6784288
2006-07-01,6980255
2006-10-01,7269883
2007-01-01,7525637
2007-04-01,7697051
2007-07-01,7914370
2007-10-01,7749957
2008-01-01,7385400
2008-04-01,7171869
2008-07-01,6722390
2008-10-01,6082391
2009-01-01,5734278
2009-04-01,5777441
2009-07-01,6135286
2009-10-01,6110791
2010-01-01,6292866
2010-04-01,6172747
2010-07-01,6527689
2010-10-01,6853663
2011-01-01,7103840
2011-04-01,7204204
2011-07-01,6835990
2011-10-01,7104193
2012-01-01,7503743
2012-04-01,7534257
2012-07-01,7893291
2012-10-01,8027709
2013-01-01,8500340
2013-04-01,8616578
2013-07-01,8977377
2013-10-01,9288831
2014-01-01,9590833
2014-04-01,9973229
2014-07-01,10027621
2014-10-01,10297178
2015-01-01,10538405
2015-04-01,10661649
2015-07-01,10389159
2015-10-01,10587254
2016-01-01,10737234
2016-04-01,11025889
2016-07-01,11237617
2016-10-01,11197511
2017-01-01,11492534
2017-04-01,11771749
2017-07-01,11931442
2017-10-01,12288201
2018-01-01,12288337
2018-04-01,12400560
2018-07-01,12674511
2018-10-01,11699312
2019-01-01,12745392
2019-04-01,13039355
2019-07-01,12967221
2019-10-01,13634694
2020-01-01,12174964
2020-04-01,13668881
2020-07-01,14513153
2020-10-01,16115043
2021-01-01,17132505
2021-04-01,18390268
2021-07-01,18952832
2021-10-01,19773009
2022-01-01,19657874
2022-04-01,18198611
2022-07-01,17769816
2022-10-01,18189976
2023-01-01,18784144
2023-04-01,19545241
2023-07-01,19202538
2023-10-01,20101886
2024-01-01,21059973
2024-04-01,21400187
2024-07-01,22339607
2024-10-01,22482313
2025-01-01,22068507
2025-04-01,23325123
